2017-11-09 16:40:34,856 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-09 16:40:34,857 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory L:\alura\mvn\produtos\src\main\resources
2017-11-09 16:40:34,859 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-09 16:40:34,860 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory L:\alura\mvn\produtos\src\test\resources
2017-11-09 16:40:57,880 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-09 16:40:57,882 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory L:\alura\mvn\produtos\src\main\resources
2017-11-09 16:40:57,885 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-09 16:40:57,887 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory L:\alura\mvn\produtos\src\test\resources
2017-11-09 16:53:59,295 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.adpd.adonis:adonisSpringMVC:1.0-SNAPSHOT @ L:\alura\mvn\adonisSpringMVC\pom.xml.
2017-11-09 16:53:59,640 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /adonisSpringMVC/src/main/java
2017-11-09 16:53:59,641 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /adonisSpringMVC/src/test/java
2017-11-09 16:53:59,693 [Worker-1] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 0 sec
